"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","05/14/2014","12:08:39","","Page /_tests/beans/car.cfc [/Users/miles/Sites/cfobjective/2014/railo_express/webapps/testingtesting/_tests/beans/car.cfc] not found"
"ERROR","web-0","05/14/2014","12:09:39","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:11:01","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:11:04","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:11:36","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:12:27","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:12:56","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:13:04","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:13:54","","No matching function [WHEELS] found"
"ERROR","web-0","05/14/2014","12:14:11","","No matching function [WHEELS] found"
"ERROR","web-0","05/14/2014","12:14:28","","No matching function [WHEELS] found"
"ERROR","web-0","05/14/2014","12:14:34","","No matching function [WHEELS] found"
"ERROR","web-0","05/14/2014","12:15:03","","No matching function [WHEELS] found"
"ERROR","web-0","05/14/2014","12:15:19","","No matching function [WHEELS] found"
"ERROR","web-0","05/14/2014","12:15:42","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:15:46","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:15:50","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:16:15","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:16:54","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:19:02","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:19:12","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:19:14","","invalid call of the function incrementSpecStat (/Users/miles/Sites/cfobjective/2014/testbox_1_1_0/testbox/system/testing/TestResult.cfc), second Argument (stats) is of invalid type, can't cast Object type [Number] to a value of type [struct]"
"ERROR","web-0","05/14/2014","12:19:35","","No matching function [BEANS] found"
"ERROR","web-0","05/14/2014","12:19:35","","No matching function [BEANS] found"
"ERROR","web-0","05/14/2014","12:22:15","","No matching function [BEANS] found"
"ERROR","web-0","05/14/2014","12:22:38","","Component [_tests.beans.TestCar] has no accessible Member with name [CAR]"
"ERROR","web-0","05/14/2014","12:23:22","","invalid component definition, can't find testingtesting.com.beans.car"
"ERROR","web-0","05/14/2014","12:24:00","","invalid component definition, can't find /testingtesting/com/beans/car.cfc"
"ERROR","web-0","05/14/2014","12:24:20","","invalid component definition, can't find /Users/miles/Sites/cfobjective/2014/railo_express/webapps/testingtesting/com/beans/car.cfc"
"ERROR","web-0","05/14/2014","12:24:21","","invalid component definition, can't find /Users/miles/Sites/cfobjective/2014/railo_express/webapps/testingtesting/com/beans/car.cfc"
"ERROR","web-0","05/14/2014","12:24:22","","invalid component definition, can't find /Users/miles/Sites/cfobjective/2014/railo_express/webapps/testingtesting/com/beans/car.cfc"
"ERROR","web-0","05/14/2014","12:24:38","","invalid component definition, can't find /Users/miles/Sites/cfobjective/2014/railo_express/webapps/testingtesting/com/beans/car.cfc"
"ERROR","web-0","05/14/2014","12:25:02","","invalid component definition, can't find /Users/miles/Sites/cfobjective/2014/railo_express/webapps/testingtesting/com/beans/car.cfc"
"ERROR","web-0","05/14/2014","12:25:54","","Component [_tests.beans.TestCar] has no accessible Member with name [COM]"
